id,requirement,requirement_title,question_text,expected_testing,source_page,applicability_tags
1.2.3,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Are perimeter firewalls installed between all wireless networks and the cardholder data environment, and are these firewalls configured to deny or, if traffic is necessary for business purposes, permit only authorized traffic between the wireless environment and the cardholder data environment ? • Revie w firewall and router configuration standards • Examine firewall and router configurations",,12,wireless
1.3,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Is direct public access prohibited between the Internet and any system component in the cardholder data environment, as follows:",,12,
1.3.1,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Is a DMZ implemented to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports? • Examine firewall and router configurations",,12,
1.3.2,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Is inbound Internet traffic limited to IP addresses within the DMZ? • Examine firewall and router configurations,,12,
1.3.3,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Are direct connections prohibited for inbound or outbound traffic between the Internet and the cardholder data environment? • Examine firewall and router configurations,,12,
1.3.4,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Are anti -spoofing measures implemented to detect and block forged sourced IP addresses from entering the network? (For example, block traffic originating from the internet with an internal address .) • Examine firewall and router configurations",,13,
1.3.5,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Is outbound traffic from the cardholder data environment to the Internet explicitly authorized? • Examine firewall and router configurations,,13,
1.3.6,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Is stateful inspection, also known as dynamic packet filtering, implemented —that is, only established connections are allowed into the network? • Examine firewall and router configurations",,13,
1.3.7,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Are system components that store cardholder data (such as a database) placed in an internal network zone, segregated from the DMZ and other untrusted networks? • Examine firewall and router configurations",,13,
1.3.8(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Are methods in place to prevent the disclosure of private IP addresses and routing information to the Internet? Note: Methods to obscure IP addressing may include, but are not limited to: • Network Address Translation (NAT) • Placing servers containing cardholder data behind proxy servers/firewalls, • Removal or filtering of route advertisements for private networks that employ registered addressing, • Internal use of RFC1918 address space instead of registered addresses. • Examine firewall and router configurations (b) Is any disclosure of private IP addresses and routing information to external entities authorized? • Examine firewall and router configurations • Interview personnel",,13,
1.4(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Is personal firewall software installed and active on any mobile and/or employee -owned devices that connect to the Internet when outside the network (for example, laptops used by employees), and which are also used to access the network? • Review policies and configuration standards • Examine mobile and/or employee - owned devices (b) Is the personal firewall software configured to specific configuration settings, actively running, and not alterable by users of mobile and/or employee -owned devices? • Review policies and configuration standards • Examine mobile and/or employee - owned devices",,14,
1.5,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Are security policies and operational procedures for managing firewalls: • Documented • In use • Known to all affected parties? • Review security policies and operational procedures • Interview personnel,,14,
2.1.1,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, are ALL wireless vendor defaults changed at installations, as follows: (a) Are encryption keys changed from default at installation, and changed anytime anyone with knowledge of the keys leaves the company or changes positions? • Review policies and procedures • Review vendor documentation • Interview personnel (b) Are default SNMP community strings on wireless devices changed at installation? • Review policies and procedures • Review vendor documentation • Interview personnel • Examine system configurations (c) Are default passwords/passphrases on access points changed at installation? • Review policies and procedures • Interview personnel • Examine system configurations",,15,wireless
2.1(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Are vendor -supplied defaults always changed before installing a system on the network? This applies to ALL default passwords, including but not limited to those used by operating systems, software that provides security services, application and system accounts, point -of-sale (POS) terminals, Simple Networ k Management Protocol (SNMP) community strings, etc.). • Review policies and procedures • Examine vendor documentation • Observe system configurations and account settings • Interview personnel (b) Are unnecessary default accounts removed or disabled before installing a system on the network? • Review policies and procedures • Review vendor documentation • Examine system configurations and account settings • Interview personnel",,15,
2.2(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Are configuration standards developed for all system components and are they consistent with industry - accepted system hardening standards? Sources of industry -accepted system hardening standards may include, but are not limited to, SysAdmin Audit Network Security (SANS) Institute, National Institute of Standards Technology (NIST), International Organization for Standardization (ISO), and Center for Internet Security (CIS). • Review system configuration standards • Review industry -accepted hardening standards • Review policies and procedures • Interview personnel (b) Are system configuration standards updated as new vulnerability issues are identified, as defined in Requirement 6.1? • Review policies and procedures • Interview personnel (c) Are system configuration standards applied when new systems are configured? • Review policies and procedures • Interview personnel",,16,app_dev
2.2.1(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Is only one primary function implemented per server, to prevent functions that require different security levels from co -existing on the same server? For example, web servers, database servers, and DNS should be implemented on separate servers. • Examine system configurations (b) If virtualization technologies are used, is only one primary function implemented per virtual system component or device? • Examine system configurations",,17,
2.2.2(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Are only necessary services, protocols, daemons, etc. enabled as required for the function of the system (services and protocols not directly needed to perform the device’s specified function are disabled)? • Review configuration standards • Examine system configurations",,17,
2.2.3,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Are additional security features documented and implemented for any required services, protocols or daemons that are considered to be insecure? For example, use secured technologies such as SSH, S - FTP, SSL or IPSec VPN to protect insecure services such as NetBIOS, file -sharing, Telnet, FTP, etc. • Review configuration standards • Examine configuration settings",,18,crypto_transport
2.2.4(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Are system administrators and/or personnel that configure system components knowledgeable about common security parameter settings for those system components? • Interview personnel (b) Are common system security parameters settings included in the system configuration standards? • Review system configuration standards (c) Are security parameter settings set appropriately on system components? • Examine system components • Examine security parameter settings • Compare settings to system configuration standards,,18,
2.2.5(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Has all unnecessary functionality —such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers —been removed? • Examine security parameters on system components (b) Are enabled functions documented and do they support secure configuration? • Review documentation • Examine security parameters on system components (c) Is only documented functionality present on system components? • Review documentation • Examine security parameters on system components",,18,
2.3,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Is non -console administrative access encrypted as follows: Use technologies such as SSH, VPN, or SSL/TLS for web-based management and other non -console administrative access. (a) Is all non-console administrative access encrypted with strong cryptography, and is a strong encryption method invoked before the administrator’s password is requested? • Examine system components • Examine system configurations • Observe an administrator log on (b) Are system services and parameter files configured to prevent the use of Telnet and other insecure remote login commands? • Examine system components • Examine services and files (c) Is administrator access to web -based management interfaces encrypted with strong cryptography? • Examine system components • Observe an administrator log on (d) For the technology in use, is strong cryptography implemented according to industry best practice and/or vendor recommendations? • Examine system components • Review vendor documentation • Interview personnel",,19,"crypto_transport,remote_admin"
2.4(a),12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,"Is an inventory maintained for systems components that are in scope for PCI DSS, including a list of hardware and software components and a description of function/use for each? • Examine system inventory (b) Is the documented inventory kept current? • Interview personnel",,19,
2.5,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,Are security policies and operational procedures for managing vendor defaults and other security parameters: • Documented • In use • Known to all affected parties? • Review security policies and operational procedures • Interview personnel,,19,
2.6,12,Maintain a policy that addresses inf ormation security for all personnel  ...................  63,This requirement applies only to service providers.,,19,service_provider_only
3.1,3,Protect stored cardholder data,"Are data -retention and disposal policies, procedures, and processes implemented as follows: (a) Is data storage amount and retention time limited to that required for legal, regulatory, and business requirements? • Review data retention and disposal policies and procedures • Interview personnel (b) Are there defined processes in place for securely deleting cardholder data when no longer needed for legal, regulatory, or business reasons? • Review policies and procedures • Interview personnel • Examine deletion mechanism (c) Are there specific retention requirements for cardholder data? For example, cardholder data needs to be held for X period for Y business reasons. • Review policies and procedures • Interview personnel • Examine retention requirements (d) Is there a quarterly process for identifying and securely deleting stored cardholder data that exceeds defined retention requirements? • Review policies and procedures • Interview personnel • Observe deletion processes (e) Does all stored cardholder data meet the requirements defined in the data -retention policy? • Examine files and system records",,20,
3.2(a),3,Protect stored cardholder data,This testing procedure applies only to Issuers. (b) This testing procedure applies only to Issuers. (c) Is sensitive authentication data deleted or rendered unrecoverable upon completion of the authorization process? • Review policies and procedures • Examine system configurations • Examine deletion processes,,20,
3.2.1,3,Protect stored cardholder data,"The full contents of any track (from the magnetic stripe located on the back of a card, equivalent data contained on a chip, or elsewhere) are not stored after authorization? This data is alternatively called full track, track, track 1, track 2, and magnetic -stripe data. Note: In the normal course of business, the following data elements from the magnetic stripe may need to be retained: • The cardholder’s name, • Primary account number (PAN), • Expiration date, and • Service code To minimize risk, store only these data elements as needed for business. • Examine data sources including: • Incoming transaction data • All logs • History files • Trace files • Database schema • Database contents",,21,
3.2.2,3,Protect stored cardholder data,The card verification code or value (three -digit or four -digit number printed on the front or back of a payment card) is not stored after authorization ? • Examine data sources including: • Incoming transaction data • All logs • History files • Trace files • Database schema • Database contents,,21,
3.2.3,3,Protect stored cardholder data,The personal identification number (PIN) or the encrypted PIN block is not stored after authorization ? • Examine data sources including: • Incoming transaction data • All logs • History files • Trace files • Database schema • Database con tents,,22,pin_data
3.3,3,Protect stored cardholder data,"Is the PAN masked when displayed (the first six and last four digits are the maximum number of digits to be displayed) such that only personnel with a legitimate business need can see the full PAN? Note: This requirement does not supersede stricter requirements in place for displays of cardholder data —for example, legal or payment card brand requirements for point -of-sale (POS) receipts. • Review policies and procedures • Review roles that need access to displays of full PAN • Examine system configurations • Observe displays of PAN",,22,
3.4,3,Protect stored cardholder data,"Is PAN rendered unreadable anywhere it is stored (including data repositories, portable digital media, backup media, and in audit logs), by using any of the following approaches? • One-way hashes based on strong cryptography (hash must be of the entire PAN) • Truncation (hashing cannot be used to replace the truncated segment of PAN) • Index tokens and pads (pads must be securely stored) • Strong cryptography with associated key management process es and procedures. Note: It is a relatively trivial effort for a malicious individual to reconstruct original PAN data if they have access to both the truncated and hashed version of a PAN. Where hashed and truncated versions of the same PAN are present in an entity’s environment , additional controls should be in place to ensure that the hashed and truncated versions cannot be correlated to reconstruct the original PAN. • Examine vendor documentation • Examine data repositories • Examine removable media • Examine audit logs",,23,
3.4,12,Maintain a policy that addresses information security for all personnel,Cardholder data is never stored electronically,,78,
3.4.1,3,Protect stored cardholder data,"If disk encryption (rather than file - or column -level database encryption) is used, is access managed as follows: (a) Is logical access to encrypted file systems managed separately and independently of native operating system authentication and access control mechanisms (for example, by not using local user account databases or general network login credentials)? • Examine system configurations • Observe the authentication process (b) Are cryptographic keys stored securely (for example, stored on removable media that is adequately protected with strong access controls)? • Observe processes • Interview personnel",,23,
3.5,3,Protect stored cardholder data,"Are keys used to secure stored cardholder data protected against disclosure and misuse as follows: Note: This requirement applies to keys used to encrypt stored cardholder data, and also applies to key -encrypting keys used to protect data -encrypting keys. Such key - encrypting keys must b e at least as strong as the data - encrypting key.",,24,
3.5.1,3,Protect stored cardholder data,Is access to cryptographic keys restricted to the fewest number of custodians necessary? • Examine user access lists,,24,
3.5.2,3,Protect stored cardholder data,"Are secret and private cryptographic keys used to encrypt/decrypt cardholder data stored in in one (or more) of the following forms at all times? • Encrypted with a key -encrypting key that is at least as strong as the data -encrypting key, and that is stored separately from the data -encrypting key • Within a secure cryptographic device (such as a host security module (HSM) or PTS -approved point -of- interaction device) • As at least two full -length k ey components or key shares, in accordance with an industry -accepted method. Note: It is not required that public keys be stored in one of these forms. • Review documented procedures • Examine system configurations and key storage locations, including for key-encrypting keys",,24,
3.5.3,3,Protect stored cardholder data,Are cryptographic keys stored in the fewest possible locations? • Examine key -storage locations • Observe processes,,24,
3.6.1,3,Protect stored cardholder data,Do cryptographic key procedures include the generation of strong cryptographic keys? • Review key -management procedures • Observe key-generation method,,25,
3.6(a),3,Protect stored cardholder data,Are all key -management processes and procedures fully documented and implemented for cryptographic keys used for encryption of cardholder data? • Review key -management procedures (b) This testing procedure applies only to service providers. (c) Are key -management processes and procedures implemented to require the following:,,25,service_provider_only
3.6.2,3,Protect stored cardholder data,Do cryptographic key procedures include secure cryptographic key distribution? • Review key management procedures • Observe the key -distribution method,,25,
3.6.3,3,Protect stored cardholder data,Do cryptographic key procedures include secure cryptographic key storage? • Review key -management procedures • Observe the method for secure storage of keys,,25,
3.6.4,3,Protect stored cardholder data,"Do cryptographic key procedures include cryptographic key changes for keys that have reached the end of their defined cryptoperiod (for example, after a defined period of time has passed and/or after a certain amount of cipher -text has been produced by a given key), as defined by the associated application vendor or key owner, and based on industry best practices and guidelines (for example, NIST Special Publication 800 -57)? • Review key -management procedures • Interview personnel",,25,
3.6.5(a),3,Protect stored cardholder data,"Do cryptographic key procedures include retirement or replacement (for example, archiving, destruction, and/or revocation) of cryptographic keys when the integrity of the key has been weakened (for example, departure of an employee with knowledge of a clear - text key)? • Review k ey-management procedures • Interview personnel (b) Do cryptographic key procedures include replacement of known or suspected compromised keys? • Review key -management procedures • Interview personnel (c) If retired or replaced cryptographic keys are retained, are these keys only used for decryption/verification purposes, and not used for encryption operations? • Review key -management procedures • Interview personnel",,26,
3.6.6,3,Protect stored cardholder data,"If manual clear -text key -management operations are used, do cryptographic key procedures include split knowledge and dual control of cryptographic keys as follows: • Do split knowledge procedures require that key components are under the control of at least two people who only have knowledge o f their own key components? AND • Do dual control procedures require that at least two people are required to perform any key management operations and no one person has access to the authentication materials (for example, passwords or keys) of another? Note: Examples of manual key management operations include, but are not limited to: key generation, transmission, loading, storage and destruction. • Review key -management procedures • Interview personnel and/or • Observe processes",,26,
3.6.7,3,Protect stored cardholder data,Do cryptographic key procedures include the prevention of unauthorized substitution of cryptographic keys? • Review procedures • Interview personnel and/or • Observe processes,,26,
3.6.8,3,Protect stored cardholder data,Are cryptographic key custodians required to formally acknowledge (in writing or electronically) that they understand and accept their key -custodian responsibilities? • Review procedures • Review documentation or other evidence,,27,
3.7,3,Protect stored cardholder data,Are security policies and operational procedures for protecting stored cardholder data: • Documented • In use • Known to all affected parties? • Review security policies and operational procedures • Interview personnel,,27,
4.1(a),3,Protect stored cardholder data,"Are strong cryptography and security protocols, such as SSL/TLS, SSH or IPSEC, used to safeguard sensitive cardholder data during transmission over open, public networks? Examples of open, public networks include but are not limited to the Internet; wireless technologies, including",,28,"crypto_transport,wireless"
4.1.1,3,Protect stored cardholder data,"Are industry best practices (for example, IEEE 802.11i) used to implement strong encryption for authentication and transmission for wireless networks transmitting cardholder data or connected to the cardholder data environment? Note: The use of WEP as a security control is prohibited. • Review documented standards • Review wireless networks • Examine system configuration settings",,29,wireless
4.2(a),3,Protect stored cardholder data,"Are PANs rendered unreadable or secured with strong cryptography whenever they are sent via end - user messaging technologies (for example, e -mail, instant messaging, or chat)? • Observe processes • Review outbound transmissions (b) Are policies in place that state that unprotected PANs are not to be sent via end -user messaging technologies? • Review policies and procedures",,29,
4.3,3,Protect stored cardholder data,Are security policies and operational procedures for encrypting transmissions of cardholder data: • Documented • In use • Known to all affected parties? • Review security policies and operational procedures • Interview personnel,,29,
5.1,5,Protect all systems against malware and  regularly update anti -virus software or programs,Is anti -virus software deployed on all systems commonly affected by malicious software? • Examine system configurations,,30,
5.1.1,5,Protect all systems against malware and  regularly update anti -virus software or programs,"Are anti -virus programs capable of detecting, removing, and protecting against all known types of malicious software (for example, viruses, Trojans, worms, spyware, adware, and rootkits)? • Review vendor documentation • Examine system configurations",,30,
5.1.2,5,Protect all systems against malware and  regularly update anti -virus software or programs,Are periodic evaluations performed to identify and evaluate evolving malware threats in order to confirm whether those systems considered to not be commonly affected by malicious software continue as such? • Interview personnel,,30,
5.2,5,Protect all systems against malware and  regularly update anti -virus software or programs,"Are all anti -virus mechanisms maintained as follows: (a) Are all anti -virus software and definitions kept current? • Examine policies and procedures • Examine anti -virus configurations, including the master installation • Examine system components (b) Are automatic updates and periodic scans enabled and being performed? • Examine anti -virus configurations, including the master installation • Examine system components (c) Are all anti -virus mechanisms generating audit logs, and are logs retained in accordance with PCI DSS Requirement 10.7? • Examine anti -virus configurations • Review log retention processes",,30,
5.3,5,Protect all systems against malware and  regularly update anti -virus software or programs,"Are all anti -virus mechanisms: • Actively running? • Unable to be disabled or altered by users? Note: Anti-virus solutions may be temporarily disabled only if there is legitimate technical need, as authorized by management on a case -by-case basis. If anti -virus protection needs to be disabled for a specific purpose, it must be formally authorized. Additio nal security measures may also need to be implemented for the period of time during which anti -virus protection is not active. • Examine anti -virus configurations • Examine system components • Observe processes • Interview personnel",,31,
5.4,5,Protect all systems against malware and  regularly update anti -virus software or programs,Are security policies and operational procedures for protecting systems against malware: • Documented • In use • Known to all affected parties? • Review security policies and operational procedures • Interview personnel,,31,
6.1,5,Protect all systems against malware and  regularly update anti -virus software or programs,"Is there a process to identify security vulnerabilities, including the following: • Using reputable outside sources for vulnerability information? • Assigning a risk ranking to vulnerabilities that includes identification of all “high” risk and “critical” vulnerabilities? Note : Risk rankings should be based on industry best practices as well as consideration of potential impact. For example, criteria for ranking vulnerabilities may include consideration of the CVSS base score and/ or the classification by the vendor, and/or type o f systems affected . Methods for evaluating vulnerabilities and assigning risk ratings will vary based on an organization’s environment and risk assessment strategy. Risk rankings should, at a minimum, identify all vulnerabilities considered to be a “high risk” to the environment. In addition to the risk ranking, vulnerabilities may be considered “critical” if they pose an imminent threat to the environment, impact critical systems, and/or would result in a potential compromise if not addressed. Examples of critical systems may include security systems, public -facing devices and systems, databases, and other systems that store, process or transmit cardholder data. • Review policies and procedures • Interview personnel • Observe processes",,32,
6.2(a),5,Protect all systems against malware and  regularly update anti -virus software or programs,Are all system components and software protected from known vulnerabilities by installing applicable vendor -supplied security patches? • Review policies and procedures (b) Are critical security patches installed within one month of release? Note : Critical security patches should be identified according to the risk ranking process defined in Requirement 6.1. • Review policies and procedures • Examine system components • Compare list of security patches install ed to recent vendor patch lists,,32,
6.3(a),5,Protect all systems against malware and  regularly update anti -virus software or programs,"Are software - development processes based on industry standards and/or best practices? • Review software development processes • Observe processes • Interview personnel (b) Is information security included throughout the software - development life cycle? • Review software development processes • Observe processes • Interview personnel (c) Are software applications developed in accordance with PCI DSS (for example, secure authentication and logging)? • Review software development processes • Observe processes • Interview personnel (d) Do software development processes ensure the following at 6.3.1 - 6.3.2 :",,33,app_dev
6.3.1,5,Protect all systems against malware and  regularly update anti -virus software or programs,"Are development, test, and/or custom application accounts, user IDs, and passwords removed before applications become active or are released to customers? • Review software development processes • Interview personnel",,33,app_dev
6.3.2,5,Protect all systems against malware and  regularly update anti -virus software or programs,"Is all custom code reviewed prior to release to production or customers to identify any potential coding vulnerability (using either manual or automated processes as follows: • Are code changes reviewed by individuals other than the originating code author, and by individuals who are knowle dgeable about code review techniques and secure coding practices? • Do code reviews ensure code is developed according to secure coding guidelines? • Are appropriate corrections are implemented prior to release? • Are code review results are reviewed and approv ed by management prior to release? Note : This requirement for code reviews applies to all custom code (both internal and public -facing), as part of the system development life cycle. Code reviews can be conducted by knowledgeable internal personnel or thir d parties. Public -facing web applications are also subject to additional controls, to address ongoing threats and vulnerabilities after implementation, as defined at PCI DSS Requirement 6.6. • Review policies and procedures • Interview personnel • Examine recent changes and change records",,34,app_dev
6.4,5,Protect all systems against malware and  regularly update anti -virus software or programs,Are change control processes and procedures followed for all changes to system components to include the following:,,34,
6.4.1(a),5,Protect all systems against malware and  regularly update anti -virus software or programs,Are development/test environments separate from the production environment? • Review change control processes and procedures • Examine network documentation and network device configurations (b) Is access control in place to enforce the separation between the development/test environments and the production environment? • Review change control processes and procedures • Examine access control settings,,34,app_dev
6.4.2,5,Protect all systems against malware and  regularly update anti -virus software or programs,Is there separation of duties between personnel assigned to the development/test environments and those assigned to the production environment? • Review change control processes and procedures • Observe processes • Interview personnel,,35,app_dev
6.4.3,5,Protect all systems against malware and  regularly update anti -virus software or programs,Are production data (live PANs) not used for testing or development? • Review change control processes and procedures • Observe processes • Interview personnel • Examine test data,,35,app_dev
6.4.4,5,Protect all systems against malware and  regularly update anti -virus software or programs,Are test data and accounts removed before production systems become active? • Review change control processes and procedures • Observe processes • Interview personnel • Examine production systems,,35,
6.4.5(a),5,Protect all systems against malware and  regularly update anti -virus software or programs,Are change -control procedures for implementing security patches and software modifications documented and require the following? • Documentation of impact • Documented change control approval by authorized parties • Functionality testing to verify that the change does not adversely impact the security of the system • Back -out procedures • Review change control processes and procedures (b) Are the following performed and documented for all changes:,,35,
6.4.5.1,5,Protect all systems against malware and  regularly update anti -virus software or programs,Documentation of impact ? • Trace changes to change control documentation • Examine change control documentation,,35,
6.4.5.2,5,Protect all systems against malware and  regularly update anti -virus software or programs,Documented approval by authorized parties ? • Trace changes to change control documentation • Examine change control documentation,,36,
6.4.5.3(a),5,Protect all systems against malware and  regularly update anti -virus software or programs,"Functionality testing to verify that the change does not adversely impact the security of the system ? • Trace changes to change control documentation • Examine change control documentation (b) For custom code changes, testing of updates for compliance with PCI DSS Requirement 6.5 before being deployed into production? • Trace changes to change control documentation • Examine change control documentation",,36,
6.4.5.4,5,Protect all systems against malware and  regularly update anti -virus software or programs,Back -out procedures ? • Trace changes to change control documentation • Examine change control documentation,,36,
6.5(a),5,Protect all systems against malware and  regularly update anti -virus software or programs,"Do software -development processes address common coding vulnerabilities? • Review software -development policies and procedures (b) Are developers trained in secure coding techniques, including how to avoid common coding vulnerabilities, and understanding how sensitive data is handled in memory? • Interview personnel • Examine training records (c) Are applications developed based on secure coding guidelines to protect applications from, at a minimum, the following vulnerabilities: Note: The vulnerabilities listed at 6.5.1 through 6.5.10 were current with industry best practices when this version of PCI DSS was published. However, as industry best practices for vulnerability management are update d (for example, the Open Web Application S ecurity Project (OWASP) Guide, SANS CWE Top 25, CERT Secure Coding, etc.), the current best practices must be used for these requirements .",,36,app_dev
6.5.1,5,Protect all systems against malware and  regularly update anti -virus software or programs,"Do coding techniques address injection flaws, particularly SQL injection? Note: Also consider OS Command Injection, LDAP and XPath injection flaws as well as other injection flaws. • Examine software -development policies and procedures • Interview responsible personnel",,37,app_dev
6.5.2,5,Protect all systems against malware and  regularly update anti -virus software or programs,Do coding techniques address buffer overflow vulnerabilities? • Examine software -development policies and procedures • Interview responsible personnel,,37,app_dev
6.5.3,5,Protect all systems against malware and  regularly update anti -virus software or programs,Do coding techniques address insecure cryptographic storage? • Examine software -development policies and procedures • Interview responsible personnel,,37,app_dev
6.5.4,5,Protect all systems against malware and  regularly update anti -virus software or programs,Do coding techniques address insecure communications? • Examine software -development policies and procedures • Interview responsible personnel,,37,app_dev
6.5.5,5,Protect all systems against malware and  regularly update anti -virus software or programs,Do coding techniques address improper error handling? • Examine software -development policies and procedures • Interview responsible personnel,,37,app_dev
6.5.6,5,Protect all systems against malware and  regularly update anti -virus software or programs,"Do coding techniques address all “high risk” vulnerabilities identified in the vulnerability identification process (as defined in PCI DSS Requirement 6.1)? • Examine software -development policies and procedures • Interview responsible personnel For web applications and application interfaces (internal or external), are applications developed based on secure coding guidelines to protect applications from the following additional vulnerabilities:",,37,app_dev
6.5.7,5,Protect all systems against malware and  regularly update anti -virus software or programs,Do coding techniques address cross -site scripting (XSS) vulnerabilities? • Examine software -development policies and procedures • Interview responsible personnel,,37,app_dev
6.5.8,5,Protect all systems against malware and  regularly update anti -virus software or programs,"Do coding techniques address improper access control such as insecure direct object references, failure to restrict URL access, directory traversal, and failure to restrict user access to functions? • Examine software -development policies and procedures • Interview responsible personnel",,37,app_dev
6.5.9,5,Protect all systems against malware and  regularly update anti -virus software or programs,Do coding techniques address cross -site request forgery (CSRF)? • Examine software -development policies and procedures • Interview responsible personnel,,38,app_dev
6.5.10,5,Protect all systems against malware and  regularly update anti -virus software or programs,"Do coding techniques address broken authentication and session management? Note: Requirement 6.5.10 is a best practice until June 30, 2015, after which it becomes a requirement. • Examine software -development policies and procedures • Interview responsible personnel",,38,app_dev
6.6,5,Protect all systems against malware and  regularly update anti -virus software or programs,"For public -facing web applications, are new threats and vulnerabilities addressed on an ongoing basis, and are these applications protected against known attacks by applying either of the following methods? • Reviewing public -facing web applications via manual or automated application vulnerability security assessment tools or methods, as follows: o At least annually o After any changes o By an organization that specializes in application security o That all vulnerabilities are corrected o That the application is re -evaluated after the corrections Note : This assessment is not the same as the vulnerability scans performed for Requirement 11.2. – OR – • Installing an automated technical solution t hat detects and prevents web -based attacks (for example, a web - application firewall) in front of public -facing web applications to continually check all traffic . • Review documented processes • Interview personnel • Examine records of application security assess ments • Examine system configuration settings",,38,
6.7,5,Protect all systems against malware and  regularly update anti -virus software or programs,Are security policies and operational procedures for developing and maintaining secure systems and applications: • Documented • In use • Known to all affected parties? • Review security policies and operational procedures • Interview personnel,,39,"app_dev,pin_data"
